"","GeoUID","Type","Region Name","Area (sq km)","Population","Dwellings","Households","CMA_UID","PR_UID","CSD_UID","CD_UID","v_CA21_1040: Prevalence of low income based on the Low-income measure, after tax (LIM-AT) (%)","v_CA21_1043: 0 to 17 years","v_CA21_1046: 0 to 5 years","v_CA21_1049: 18 to 64 years","v_CA21_1052: 65 years and over","v_CA21_1085: Prevalence of low income based on the Low-income cut-offs, after tax (LICO-AT) (%)","v_CA21_1088: 0 to 17 years","v_CA21_1091: 0 to 5 years","v_CA21_1094: 18 to 64 years","v_CA21_1097: 65 years and over","v_CA21_1140: Gini index on adjusted household total income","v_CA21_1141: Gini index on adjusted household market income","v_CA21_1142: Gini index on adjusted household after-tax income","v_CA21_8: Total - Age","v_CA21_251: 65 years and over","v_CA21_386: Average age","v_CA21_389: Average age"
"521","5350366.00","CT","0366.00",1.4384,6228,2157,2080,"35535","","3520005","3520",12.9,17.6,21,11,15.1,9.1,10.4,11,10.1,3.9,0.278,0.427,0.251,6230,1070,41.2,40.4
"522","5350367.01","CT","0367.01",0.7132,4534,1394,1353,"35535","","3520005","3520",13.3,19.6,18.5,11.2,12.8,8.6,7.2,6,9.5,5.2,0.294,0.461,0.262,4530,490,36.6,34
"523","5350367.02","CT","0367.02",1.0307,3560,1222,1170,"35535","","3520005","3520",7.4,10.4,15,6.7,6.6,6.3,6,7,7.7,2.4,0.276,0.403,0.246,3560,765,43.4,43.2
"524","5350368.01","CT","0368.01",0.8885,6624,3770,3438,"35535","","3520005","3520",23.4,19.2,19,23.7,25,17.2,10.8,11.6,19.9,9.6,0.359,0.469,0.329,6620,1085,40.4,36
"525","5350368.02","CT","0368.02",1.5627,4365,1621,1563,"35535","","3520005","3520",13.2,10,17,6.6,28,7.6,6.8,10,8.5,6.2,0.297,0.454,0.264,4365,1390,49.2,51.2
"526","5350369.00","CT","0369.00",2.4493,8145,2489,2415,"35535","","3520005","3520",13.6,21.7,21.6,10.9,12.2,6.8,8.4,9.6,7,3.4,0.3,0.472,0.266,8145,1160,38.1,36.4
"527","5350370.01","CT","0370.01",1.7559,9656,3795,3680,"35535","","3520005","3520",17,21.4,23.2,13.7,25.4,9.3,10.9,12.4,9.1,7.8,0.291,0.474,0.261,9660,1620,41.2,40.8
"528","5350370.02","CT","0370.02",2.2738,5574,1885,1833,"35535","","3520005","3520",11.6,15,16.5,9.4,16.8,8.2,7.4,9,8.8,6.4,0.271,0.416,0.244,5575,995,41.7,40.4
"529","5350370.03","CT","0370.03",0.8572,4262,1446,1377,"35535","","3520005","3520",9.6,15.4,17,8,9.2,5.8,5,5,6.7,3.2,0.269,0.406,0.242,4265,640,40.7,40.8
"530","5350371.00","CT","0371.00",3.7241,8463,3020,2890,"35535","","3520005","3520",10.9,15.2,16.5,9.4,12,7.2,7.4,8.8,7.6,4.8,0.295,0.433,0.263,8460,1525,42.2,40.8
"531","5350372.00","CT","0372.00",1.3179,4333,1514,1442,"35535","","3520005","3520",7,10,9,6.1,7.6,5.1,4.4,4,6.2,1.8,0.274,0.4,0.244,4330,855,43.7,44.8
"532","5350373.00","CT","0373.00",0.9586,4934,1874,1767,"35535","","3520005","3520",11.9,14.8,14,10.4,15,7.6,7.8,6,8.4,3.8,0.283,0.424,0.252,4935,805,41.2,40.4
"533","5350374.01","CT","0374.01",1.1867,5150,1937,1799,"35535","","3520005","3520",9.5,12,12,8.5,11.4,6.6,6,7,7.5,3.4,0.284,0.411,0.254,5150,870,42.4,42.4
"534","5350374.02","CT","0374.02",0.8023,3171,1084,1066,"35535","","3520005","3520",9.6,11.6,12,8.4,11.6,6.6,6.4,4,7.7,3.6,0.284,0.42,0.257,3175,710,45,45.6
"535","5350374.03","CT","0374.03",0.808,4053,1700,1607,"35535","","3520005","3520",18.4,15.6,14,9.8,41.4,8.8,6.8,6,8.9,10,0.318,0.493,0.284,4055,995,46,46.8
"536","5350375.01","CT","0375.01",0.9531,6266,2799,2723,"35535","","3520005","3520",23,24.6,24,15.1,38.5,10.9,14.2,13,10.7,9.6,0.354,0.557,0.313,6265,1740,47.3,49.6
"537","5350375.02","CT","0375.02",0.6138,1887,695,675,"35535","","3520005","3520",5.2,4.5,NA,4.2,8,5.2,4.5,NA,6.2,2.8,0.343,0.438,0.301,1885,440,45.2,48.4
"538","5350375.03","CT","0375.03",0.8111,5221,1908,1847,"35535","","3520005","3520",16.1,18.8,19,13.7,22.4,9.3,8.6,8,10.2,7,0.314,0.494,0.28,5220,855,40.1,38.4
"539","5350375.04","CT","0375.04",0.9213,5785,1934,1882,"35535","","3520005","3520",10.3,11,9.5,9.4,13,7.4,7.2,6,8.3,4,0.291,0.425,0.262,5785,1040,42.6,42.8
"540","5350375.05","CT","0375.05",1.1294,6915,2768,2684,"35535","","3520005","3520",13.6,13,17.5,8.4,27.1,6.5,5.6,7.6,6.1,8,0.338,0.475,0.297,6915,1625,45.7,47.2
"541","5350376.01","CT","0376.01",1.046,5025,1653,1598,"35535","","3520005","3520",17.6,24.6,25,15.5,17.6,11.4,12.8,15,12.1,7,0.332,0.521,0.298,5025,895,41.3,40.4
"542","5350376.02","CT","0376.02",0.8583,4667,1639,1566,"35535","","3520005","3520",14,15,13,11.7,20.6,8.5,6.8,7,9.2,7.6,0.284,0.468,0.256,4670,875,42.2,42.4
"543","5350376.04","CT","0376.04",1.1941,5296,2030,1927,"35535","","3520005","3520",14.6,13.2,16,10.6,23.1,8.2,5.4,7,8.4,9,0.321,0.472,0.286,5300,1640,48.5,50.8
"544","5350376.05","CT","0376.05",1.2908,6299,2043,1979,"35535","","3520005","3520",14.5,14.8,16,12.5,19.2,12.7,11,11,15.7,6.3,0.315,0.488,0.284,6295,1540,45.8,46.8
"545","5350376.06","CT","0376.06",2.1919,428,252,222,"35535","","3520005","3520",45,NA,NA,40,45,14,NA,NA,25,13,0.348,0.66,0.316,430,395,82.4,85
"546","5350376.08","CT","0376.08",0.8788,6056,2222,2157,"35535","","3520005","3520",13,13.8,14,11,16.8,7.8,6.4,4.5,8.9,5.9,0.293,0.451,0.263,6055,1575,46.3,47.6
"547","5350376.09","CT","0376.09",0.801,4250,1639,1582,"35535","","3520005","3520",16.7,15.4,14,13.1,24.2,10.4,8.8,8,11.2,9.4,0.319,0.478,0.286,4250,1245,48.7,51.2
"548","5350376.11","CT","0376.11",0.4704,3313,1053,1021,"35535","","3520005","3520",15.8,25.6,27,12.7,14.4,8,10,11,8.1,5.2,0.276,0.475,0.248,3315,490,39.4,38.4
